,Rates collection,Percentage of accumulated deficit from income,Average per capita expenditure in NIS,Education,Welfare,Total income from the government,Total expenses,Total income,Surplus or deficit per year,Development Work,immigration_balance,Socioeconomic cluster from 1 to 10 lowest 1,Percentage of eligible for a Bagrut,Gini Index of Inequality Index 0 Full Equality,Compactness Cluster from 1 to 10 1 highest
389,61437.0,0.2020323141573685,7449.561403508771,78052.0,18037.0,65256.0,254775.0,276040.0,-1246.0,33017.0,320.0,8,85.4,0.3592,2
390,64865.0,0.03866970156803237,7371.11954459203,107651.0,42377.0,113176.0,388458.0,395400.0,1468.0,66529.0,141.0,5,67.6,0.4689,8
391,51394.0,0.06782845659464067,8444.659685863873,69419.0,29378.0,41344.0,322586.0,321458.0,-1504.0,35442.0,209.0,6,58.8,0.4304,7
392,35204.0,0.0038944586473991668,8478.467908902692,135143.0,48181.0,137902.0,409510.0,393893.0,523.0,49619.0,-441.0,4,51.9,0.429,4
393,39559.0,0.051221074243951135,5702.976501305483,58009.0,37945.0,109269.0,218424.0,212354.0,-1799.0,17342.0,-175.0,5,70.7,0.3725,3
394,57448.0,0.10841433966937032,6309.61439588689,62605.0,26015.0,52448.0,245444.0,242265.0,-1310.0,30416.0,173.0,6,63.5,0.4055,4
395,12435.0,0.26410123112549916,8575.754716981133,36543.0,26660.0,67556.0,181806.0,169276.0,-14504.0,6863.0,-321.0,4,50.6,0.4348,1
396,19508.0,0.1961814068065951,7638.311688311688,42816.0,25251.0,72715.0,176445.0,169277.0,-7280.0,20123.0,-301.0,5,58.5,0.3655,4
397,53020.0,0.01609186888420362,8284.679802955665,98142.0,30125.0,82219.0,336358.0,378017.0,1017.0,75244.0,-37.0,6,71.1,0.3818,5
398,33959.0,0.11913763716983024,5390.217391304348,145059.0,35802.0,183790.0,320048.0,309197.0,-28687.0,27866.0,-14.0,2,54.6,0.3618,7
399,32141.0,0.07859412082323543,5588.964143426295,32361.0,24076.0,81862.0,162428.0,159274.0,-3693.0,18043.0,-91.0,3,42.8,0.3816,3
400,107614.0,0.08421993505587383,6421.183098591549,69745.0,37495.0,73738.0,268964.0,265151.0,143.0,39668.0,-321.0,5,66.2,0.4031,3
401,32576.0,0.346491193256233,7658.734939759035,34249.0,16153.0,46689.0,140346.0,125983.0,-15331.0,11382.0,134.0,4,65.2,0.363,2
402,252353.0,0.11748269360982189,10088.98128898129,141366.0,37337.0,141235.0,577306.0,547919.0,-5350.0,77327.0,17.0,5,62.4,0.3714,8
403,32516.0,0.06428180538906551,3230.892018779343,48554.0,20155.0,81976.0,154913.0,153496.0,-734.0,15559.0,-449.0,2,34.8,0.3951,3
